name,city,field,lon,lat
"Abella, Sheffield","Las Vegas, NV",ComicBook,-115.13983,36.169941
"Adams, Neal","New York, NY",ComicBook,-74.005973,40.712775
"Ajhar, Brian",,ComicBook,,
Album Artist,"Austin, TX",ComicBook,-97.743061,30.267153
"Allen, Mark",,Animation,,
"Allen, Raul",,Animation,,
"Allinger, Janet Illustration & Graphic Design",,Animation,,
"Allsbrook, Wesley",,Animation,,
Andres Illustra,,Animation,,
"Animatics & Storyboards, Inc.",,Animation,,
"Arrasmith, Patrick",,Animation,,
"Ashmore, Brian",,Animation,,
"Auger, Michael",,Animation,,
"Babboni, Robert","Montclair, NJ",Animation,-74.209005,40.825901
"Ballinger, Bryan","Huntington, IN",Animation,-85.497476,40.883101
"Barbieri, Pamela",,Animation,,
"Bass, Jonathan",,Animation,,
"Bates, George","Brooklyn, NY",Animation,-73.944158,40.678178
"Baumann, Marty",,Animation,,
"Bear, Nate",,Animation,,
"Beck, David M.","Cincinnati, OH",Animation,-84.51202,39.103118
"Berke, Lauren Simkin",,Animation,,
"Berry, Bob Illustration & Design Inc.","Poughquag, NY",Animation,-73.681796,41.608983
"Best, James","Pacc, NY",Animation,-73.989622,40.734739
"Beveridge, James","Edmonton, AB",Animation,-113.490927,53.544389
"Biddle, Meg","Monterey, CA",Animation,-121.894676,36.600238
"Biggs, Brian","Philadelphia, PA",Animation,-75.165222,39.952584
"Binder, Pat","Plano, TX",Animation,33.019843,33.019843
Black Ink Creative Partners,,Animation,,
"Boatman, Dave Caricatures & Cartoons","Burbank, CA",Animation,-118.308966,34.180839
"Bochkov, Val",,Animation,,
"Boyer, Robin",,Animation,,
BrainForest Digital,"Los Angeles, CA",Animation,-118.243685,34.052234
"Brancato, Elena",,Animation,,
"Brindley, Kate",,Animation,,
"Brockschmidt, Kev","Renton, WA",Animation,-122.207922,47.479693
"Brown, Jim",,Animation,,
"Burrier, Mark","Myersville, MD",Animation,-77.566377,39.505101
"Burroughs, Scott",,Animation,,
"Caged Beagle Productions, Inc.","Sierra Madre, CA",Animation,-118.052846,34.161673
"Calle, Celia",,Animation,,
"Caparo, Antonio Javier",,Animation,,
Capstone Studios Design,"San Diego, CA",Animation,-117.161084,32.715738
"Carbajal, Richard",,Animation,,
"Carlsen, Ben","Harlem, GA",Animation,-82.312624,33.414583
"Carlson, Jonathan",,Animation,,
Caroline W Illustration,,Animation,,
"Carpenter, Dave","Emmetsburg, IA",Animation,-94.683036,43.112743
"Carter, Robert Illustration","Westfield, NJ",Animation,-74.347372,40.658991
Cartoon City CARICATURES,"Petaluma, CA",Animation,-122.636652,38.232417
Cartoons for Licensing,"Chassell, MI",Animation,-88.525125,47.028262
Cartoon Studios,"Battle Creek, MI",ComicBook,-85.179714,42.321152
"Cartwright, Amy",,ComicBook,,
"Chambers, Clayton","Cedar Rapids, IA",ComicBook,-91.665623,41.97788
"Chapman-Smith, Rose",,ComicBook,,
"Chen, Grace",,ComicBook,,
"Chenette, Danielle",,ComicBook,,
"Chua, Charlene",,ComicBook,,
"Clark, Richard","Gardiner, NY",ComicBook,-74.150423,41.679816
"Clarke, Doug","New York, NY",ComicBook,-74.005973,40.712775
"Cody, Brian",,ComicBook,,
"Cohen, Santiago",,ComicBook,,
Cojo,,ComicBook,,
"Collins, Daryll","Independence, KY",ComicBook,-84.544109,38.943118
"Collins, Mark",,ComicBook,,
"Colwell, Kim",,ComicBook,,
"Contreras, Gabby",,ComicBook,,
"Corts, Enrique",,ComicBook,,
"Coulson, David","Pittsburgh, PA",ComicBook,-79.995886,40.440625
"Coulter, John",,ComicBook,,
"Cowles, David",,ComicBook,,
"Crnkovich, Tony","Chicago, IL",ComicBook,-87.629798,41.878114
CSA Images,"Minneapolis, MN",ComicBook,-93.265011,44.977753
"Culley, Ian",,ComicBook,,
"Dahm, Bob",,ComicBook,,
"Dammer, Mike","Chicago, IL",ComicBook,-87.629798,41.878114
"Dawley, Brandon Lee",,ComicBook,,
"Dawson, Mike Comics",,ComicBook,,
"de Kemmeter, Philippe",,ComicBook,,
"Debank, Rob",,ComicBook,,
"Deisinger, Paul M.",,ComicBook,,
"Delsol, Lenin",,ComicBook,,
"Derry, Michael","West Hollywood, CA",ComicBook,-118.361744,34.090009
"Des Rosiers, Melisa",,ComicBook,,
"DeWeese, Michael",,ComicBook,,
"Dicke, Matt",,ComicBook,,
"Donnot, Jean Pascal",,ComicBook,,
"Dorse, Vince","Pittsburgh, PA",ComicBook,-79.995886,40.440625
"Dos Santos, Dan",,ComicBook,,
"Dougan, Michael",,ComicBook,,
"Douglass, Ali",,ComicBook,,
"Dresser, Amy",,ComicBook,,
"Drucker, Mort",,ComicBook,,
"Dubisch, Michael","Phoenix, AZ",ComicBook,-112.074037,33.448377
"Duffendack, Steve","Kansas City, MO",ComicBook,-94.578567,39.099727
"Durney, Ryan",,ComicBook,,
"Dyer, Jamaica",,ComicBook,,
